ProductId,Score,Summary,Text,Time,HelpfulnessNumerator,HelpfulnessDenominator
B003OB2EP6,5,Good,"Im on a quest to try all the Ramen Flavors. Ramen is a good lunch for me, being easy to make, cheap and versital. The Chicken flavor is one I remember but I havent had it in a long time, its one of the only flavors sold in stores where I live. I made some recently. Its better than I remember, salty but good. This is one of the more americanized flavors. I recommend NOT adding 2 cups of water. I added a bit more than 1 1/4 cup. and it was perfect. 1 1/4- 1 1/3 or 1 1/2 seems to be the perfect amount. I like eating it as a soup so I dont pour out the water. You can add things to Ramen like meat, eggs, or vegetarian protein and frozen veggies to make it a more filling meal or eat it plain. Or dont use the seasoning packet and add your own seasonings. Whatever you like. This is a great product, I recommend if you want easy, cheap lunches.",1338249600,0,0
B003OB2EP6,5,A Good Choice,"This is a classic ramen choice.  Our kids, 3-6 love this.  When we're RVing, we have a case of this on hand.  A bowl, some water, and 2:30 in the microwave, and we've got our instant meal. We break up the noodles while still sealed in the package.  This helps the kids not make a mess when trying to eat them. They don't seem to tire of these; and we're not overly offended by the nature of the just-add-water-product. We each had our ramen-eating-college-days. These also make a great item to have on hand in a desk drawer for the days you forget your lunch, etc. at work.  Just make sure you have a pack of paper (not styro-save the enviro) bowls and some fork/spoons in that drawer, too.",1337558400,0,0
B0040WHJQM,3,Glorified Cup of Noodles,"For a 220 calorie dish that can sit in your desk drawer indefinitely, this really isn't bad. It's certainly better than Chef Bouyardee or Easy Mac or actual Cup of Noodles. I've only ever had one other Dr. McDougall's product which was the Tortilla Soup and I much preferred it. I found this one to be a bit bland. It was pretty much just dried Cup of Noodles type noodles with some peanutty powder and a few green onions. I think the peanut flavor could have been more pronounced and I wasn't crazy about the texture of the noodles. I guess I was hoping for a bit more than ramen with peanut sauce.<br /><br />I only gave this three stars because I thought it was a bit of a let down. I liked it but I didn't love it as much as I should have given my love of peanut sauce. I would maybe buy it again at a grocery store if it was on sale but I certainly don't see myself buying them in bulk from amazon. My go-to Desk Drawer food is still Annie Chun's Udon Noodle Soup Bowl. The calorie count is pretty similar (I think Annie Chun's is like 280 or so) but the texture of the noodles is far superior because they use the vacuum sealed pre-cooked noodles. However, if you're not in the mood for soup, these peanut noodles may be a better way to go after all.",1341792000,0,0
B000E7WM0K,4,More than just a taste of Thai,"Provided you use clean (preferably purified) water to cook this, it can be a great tasting hold over to a main meal. Far superior to most instant noodle packages out there and for the most part, gluten and meat free (except for the shrimp flavor).<br /><br />While some people have remarked on the ""over-sized"" packaging, this actually allows for a good and thorough mixing of the flavor packets and noodles with little chance of spillage.<br /><br />While the coconut ginger variety tastes good, it may be a bit too subtle for those looking for an actual ""taste of THAI."" I'd recommend the Thai Peanut noodles for those seeking something with a bit more of a pronounced Thai flavor and highly recommend The A Taste Of Thai Peanut Salad Dressing (added to salads, meats or the Peanut Noodles) for a very spicy Thai experience.<br /><br />Overall for the taste and quantity, the subscribe and save offer provides the best deal. Comparatively speaking in terms of price, Wal-Mart offers most of these noodles a few cents cheaper (compared to the subscription price) but do not seem to carry the Coconut Ginger Variety. At least not at the store near me.<br /><br />If you haven't tried this brand of instant noodles yet, I think you'll be in for a treat.",1309824000,0,0
B000LRKO9E,5,Great Find!,"I have two recipes I'm anxious to try that call for pomegranate molasses. I've called all the specialty and best markets in the Sacramento area and no one's heard of this, much less carries it.  It's common in Mediterranean recipes, goes with shrimp, fish, chicken, beef and pork. I was delighted to find it on Amazon and look forward to using mine in a fabulous short ribs recipe.  I'm also passing along the info to my friends so they can order their own -- or I may give as gifts to my gourmet cook friends.",1187827200,14,21
B003OZYUEA,3,it's aight.,"I bought this water when i was at college for the first week. I felt bad using my roommate's water all the time and i was 7 states away from home. So i ordered this water. It was delicious, but the only complaint i have is that the bottles were REALLY...well...plastic-y. I felt really un-green drinking water out of these HUGE plastic bottles.<br /><br />So now, i just ask my roommate to buy water for me when she goes home on the weekends. I give her $ 4, she runs to walmart and gets me 2 cases of 30 water bottles. Yay me!<br /><br />Sometimes i still think about this water, longing for it as i sip my coffee or tea or ramen-juice and say to myself ""This would be so much better with talking rain.""<br /><br />Its one college student's battle between deliciousness and eco-friendliness.",1298332800,2,7
B005ZHJI9C,5,Yum!,"This soup cooks up quickly and is very yummy! I really like the flavor of the seasoning packet and the way the noodles cook up, nice texture. It is very satisfying to me. I'm a single gal who doesn't really cook & am often in a hurry for my next meal, and I find that this soup really hits the spot. Although it does tend to be more of a mid-afternoon snack/light lunch item for me. It will tide you over for a while until your next big meal, but i have to agree with the other reviewer that if you try to have just one of these for dinner you can expect to be hungry in a few hours.<br /><br />Personally I LOOOVE this soup that much more because I had to give up the ramen cup o' noodle and some other brands i had been eating because I developed an allergy to shellfish and mollusks.  It seems that often these instant noodle packets/bowls either have some type of seafood in the sauce or they are manufactured on equipment that also processes shellfish. This one does not contain any type of seafood like many of the other instant noodles do. Another plus for me is that it's not spicy. I'm kind of a wimp with spicy foods, plus i have GERD/reflux, so believe me if i can eat it is NOT spicy. Just tasty :)<br /><br />One thing that bugs me a little is that i feel guilty about the packaging since the plastic bowl is not recyclable (in my town they only take 1's and 2's which of course these microwave safe bowls are never made out of.) Oh well, can't have it all....",1349136000,0,0
B005GX7GVW,5,Yum!,"This soup cooks up quickly and is very yummy! I really like the flavor of the seasoning packet and the way the noodles cook up, nice texture. It is very satisfying to me. I'm a single gal who doesn't really cook & am often in a hurry for my next meal, and I find that this soup really hits the spot. Although it does tend to be more of a mid-afternoon snack/light lunch item for me. It will tide you over for a while until your next big meal, but i have to agree with the other reviewer that if you try to have just one of these for dinner you can expect to be hungry in a few hours.<br /><br />Personally I LOOOVE this soup that much more because I had to give up the ramen cup o' noodle and some other brands i had been eating because I developed an allergy to shellfish and mollusks.  It seems that often these instant noodle packets/bowls either have some type of seafood in the sauce or they are manufactured on equipment that also processes shellfish. This one does not contain any type of seafood like many of the other instant noodles do. Another plus for me is that it's not spicy. I'm kind of a wimp with spicy foods, plus i have GERD/reflux, so believe me if i can eat it is NOT spicy. Just tasty :)<br /><br />One thing that bugs me a little is that i feel guilty about the packaging since the plastic bowl is not recyclable (in my town they only take 1's and 2's which of course these microwave safe bowls are never made out of.) Oh well, can't have it all....",1349136000,0,0
B000N1LF96,5,try it with ramen noodles!,"I'm not the best cook, but I like to try new things to make my diet healthier.  I confess that I LOVE ramen noodles, and this product helps me cut the salt content.  The flavor packet that comes in Ramen noodles usually has between 600-900 grams of sodium per serving (2 servings in the packet...I eat the whole thing, so that's a LOT of salt.  This Miso contains 880 grams sodium per tablespoon.  I add a table spoon to my ramen, then just a light sprinkle of original flavor packet, cutting the salt almost in half, while still adding a nice savory flavor.  I also add a handful of frozen peas, but I like to keep it simple.  I'm sure there are many other recipes and uses to be found out there, so enjoy!",1337990400,1,1
B0005ZWN0A,4,inexpensive meal,"The Oriental Flavor Ramen Noodles taste okay but I almost always add ingredients to make the dish more wholesome. I prepare it by adding sesame seed oil, vegetables and water then adding the seasoning and noodles after the water boils. Rough vegetables like chopped onions taste better if they are boiled with the seasoning for 15 minutes prior to adding the noodles.",1301961600,0,0
B000E8PXTG,5,Best instant noodle cup,I really enjoy this noodle cup mostly because of the texture of the noodles and the flavor of the soup. The noodles taste firmer and less like the cheap kind that would regularly come out of one of these instant noodle packages. The flavoring has just the right amount of spice and is not excessively spicy.,1226793600,0,0
B000F4D4HW,5,Healthy Flavoring Alternative,We love Miso Cup soup!  We use it to flavor our ramen. It is much healthier and tastier than the usual salt and MSG! The price on Amazon is great too! Less than half the price we were paying in a local health food store.  Thanks Amazon!,1337126400,0,0
B003EML8PM,5,Great for low carb life style,I finally tried these noodles and cooked them in chicken broth and added to my stir fry.  Everyone liked them and commented that it was like eating ramen noodles.  Once I got past the fishy smell rinsing them I was happy with the result.,1334793600,0,0
B0000DG6XV,5,"Yay Gluten, Peanut and Soy FREE Yum!",I got these from a local bee keeping specialty store in Sacramento... they are SO GOOD. I came online to see if I can get them for less! Highly recommended for fellow food allergy sufferers!,1334361600,0,0
B001KVNDM0,5,Excellent source of Protein--especially when you're Away from Home.,"I first bought the small, 100-calorie pack box in my local store.  They are a wonderful source of protein without the carbs, salt, and extra sugar that come with other snacks or with roasted nuts (e.g., especially honey-roasted nuts).<br /><br />These whole, raw almonds are great for anyone with a blood sugar issue.  The raw almonds won't make your blood sugar spike; are handy if your blood sugar has dropped and you need a quick source of food; and, the 1.5-ounce bags are sturdy and won't rip--or haven't yet in my overly packed and oft-mangled bag.<br /><br />As the previous reviewer mentioned, once you start eating these, you won't miss the added fat and salt of any distributor's ""roasted"" nuts.  Since eating these natural almonds, I haven't missed the traditional ""roasted"" nut taste.  I grew up on the usual nuts, but now I find I really look forward to this new, clean taste.  For all these reasons, I recommend Blue Diamond's raw almonds.<br /><br />(However, if you still think that these almonds aren't crunchy enough for you--especially if you bought the canned nuts--you could always roast them yourself.  Put the raw almonds on a cookie sheet [you may want to line your sheet with foil or parchment paper] in a pre-heated oven at 350 degree F.  Stir them a few times to ensure they don't scorch (I would check around 6 minutes--especially if your oven is a bit temperamental [like mine]; and stir and check again before 10 minutes [because it's amazing how fast nuts can go from 'almost done' to 'scorched'--or worse--'burnt'].  Roasting them yourself still has to be much healthier than any nuts that are cooked in oil.  Remember also, if you do roast the raw almonds in the oven, please cool them completely and then refrigerate them afterward.)",1259884800,4,4
B005QBFJGS,1,No flavor to speak of.,"Kamfen Noodle King -Beef flavored soup. This noodle soup comes in a carton waxed paper bowl. Included are noodles, and three flavor packets. You add boiling water after you add the packets of dehydrated vegetables, spices, and a paste of some sort.<br />  The noodles were starchy, and there was little or no vegetable flavor. The beef taste was probaly beef bullion cubes. All in all, a soup with very little flavor and my guess, high in sodium.<br />  There are much, much better ramen noodle soups available. You can cross this one off your list.",1325030400,0,0
B003H26J5I,5,Tried them for the first time today......,"Today I tried the spaghetti Tofu Shirataki noodles by House Foods. I would give these noodles a five stars if it weren't for the pre-preparation that is involved. I found these at my local Asian mart for about $2.00.<br /><br />First you must rinse these noodles well because the liquid they come in smells like a lake (you should prepare yourself for the smell). Second, you need to lay out the noodles on paper towels and press down removing as much of the liquid as possible before use.<br /><br />Next I fried them on high heat with a small amount of oil and butter. After a few minutes I then added my frozen stir-fry vegetable medley. I then added some broth, soy sauce, and finally a thickener such as corn starch. Stir it up, bring to a boil, and turn it off.<br /><br />Really it tasted great- very much like the ramen noodles.  It is important to note that the noodles themselves have ""no flavor"" and actually absorb the flavor of whatever ingredients you are cooking them in. So let them sit it whatever flavor suits you.",1289088000,36,36
B003H26J5I,5,Tofu Shirataki Noodles,"I first heard about Shirataki noodles years ago and decided I would try it.  I went to Fiesta and got these Tofu Shirataki Noodle.  Shirataki are made from Konjac yams and the added tofu gives it a harder texture. The noodles without tofu added is 0 calories.  The one with tofu is 20 cal per 4 oz which is low in cal. I always rinse the noodles first. I never cook it longer than 3 minutes. The first time I ever made Shirataki Noodles I cooked it like regular pasta and it turned into a gel--this was years ago. I learned that was the worst mistake to make and changed how I make these noodles. The next time I made it correctly and tried to eat it with pasta sauce. That didn't work for me, since the flavors did not merry and I was accustomed to the hard texture of pasta. The noodles are similar to the texture of vermicelli rice noodles. I personally prefer it in soups and not as a substitute for spaghetti.  I would sometimes eat it with a sauce I make with soy sauce, shredded ginger, chili paste, and sprinkle green onions on top for looks.  I have tried this rinsed without it being cooked and it has no flavor whatsoever.  It isn't like Ramen noodles which as a flavor without anything added.  Even though I still eat the Tofu Shirataki, I just got the one without tofu and it is very similar.  The one without tofu is 0 cal which is a plus.<br /><br />Update:<br /><br />I did some more research on Shirataki noodles in order to expand my ideas with recipes.  I found that the reason that my shirataki noodles may have turned into mush was because it expired.  It seems Shirataki noodles is still good for a year and even after it is still edible however it would turn to mush if cooked too long.  These noodles also apparently shrink and become thinner, something it seems some people like.  I went to the store that I used to get my Tofu Shirataki noodles, and looked at the for an expiration date.  Lo and behold, it was expired by over a year.  I even saw some in the store expired by over 2 years.  It seems that non expired shirataki noodles will become alot more chewy if cooked too long.  My mom used it in stir fry, and I have also tried it baked which is also a great idea.  I been lazy and not just use any boullion cube with the noodles and that works fine...I just let it sit in the seasoning for a few hours to take the flavor of the soup.",1297382400,23,23
B003H26J5I,5,Fantastic Product,"How nice it is to no longer be deprived of pasta and noodles. If you follow a low carb lifestyle, then House Foods Shirataki (Tofu) Noodles are heaven sent. I've been enjoying this product for well over a year and I'm so very happy to have found it. I heard about it on the Dr. Oz show and ran right out and bought some. I've tried the fettucine and spaghetti noodles also, but the angel hair is the most versatile. People who found them too rubbery probably did not follow the package directions. For best results, they have to be thoroughly rinsed and parboiled for at least three minutes. I am also amazed at how forgiving this product is. Once I got distracted and let the noodles simmer for almost 20 minutes and they STILL turned out fine. Maybe even better! If you want that ramen-like flavor do this: after parboiling and drying, saute them over high heat in a skillet with peanut oil and/or sesame oil, or hot chile oil. Add a few shakes of salt, onion & garlic powder and toss. Then just carry on with your recipe. They're very much like rice noodles so you won't miss a beat with stir-frys and noodle soups. I've also had great success with Italian dishes. I've used them with meatballs or Italian sausage in Marinara sauce. Also, with shrimp & scallops in a cream & wine sauce, just to name a few. Topped with grated, melted cheese, I got ALL of the joy and practically none of the carbs. However, one package really only serves one. This is an excellent, healthy alternative to pasta and noodles that will not wreak havoc upon your glycemic index. Good cooks will have no problem incorporating this into their menu planning.",1313971200,7,7
B003H26J5I,5,YUMMY if you can cook,"I LOVE these noodles.  You HAVE to cook them right, drain and rinse or they WON'T be tasty.  I drain them and rinse until very little scent of soy is left then add to HOT pan with a little coconut oil. I add garlic, onion, red pepper flakes and a little salt and cook for a while then i eat em like ramen with a slice of cheese .  Very good diet food.",1320105600,2,2
B003H26J5I,5,Prep is the WORD,"I LOVE these noodles and I really enjoy them in place of ramen. For those dieting, Ramen is the worst thing you can eat, boasting 65% of your daily saturated fat due to the palm oil. To prepare, I rinse well with hot water or drop in boiling water for a minute (best) the let dry. As for flavoring, I find these to work best in ""Soup"" applications with strong flavors. Like tofu, these will absorb whatever they are cooked in. My fave and easiest method is to simply sacrifice a $0.20 Run of the mill beef ramen, steal the flavor pack, and cook my noodles in the broth. I also add  Heinz reduced sugar ketchup to add body to the sauce and give it a lip smacking goodness. A bit frugal, but it is really good. I have given this to other people and they dont even realize its not the real deal. Prep, Boil, Add to flavorful broth. Done.",1332460800,0,0
B003H26J5I,5,So much better than the Non Tofu Shirataki!,"I have tried both the Tofu Shirataki and the Non Tofu Shirataki. The non-tofu variety is very gel/gummy (literally like little strands of flavorless gummy worms). I ate the non-tofu noodles, because, hey they are sooo low calorie/carb. But now that I've tried the tofu shirataki which contains only 20 calories per serving, I am sold on the tofu shirataki. Tofu noodles were more like ramen noodle consistency. Perhaps not the exact same texture as a real flour based noodle, but for the calories and carb content these are excellent!<br /><br />As with any shirataki noodle, you do have to make sure you wash, wash and wash them some more. If there is any scent at all, you have not washed them enough. About 2 or 3 minutes seems to do the trick for me. I made a low carb peach kugel (dessert) with the fettuccine and a stir fry with the angel hair. I just could not believe how much better they were than the non tofu variety.<br /><br />I was also very impressed with the seller (Low Carb You Foods). These arrived within 2 days on regular shipping, shipping all the way across the country. And, I bought 2 different varieties with no additional charge on the shipping! I will certainly be back again.",1326499200,0,0
B000LQLV6U,4,like it,"Tried this with 40% off since Nong Shim instant noodle is my favorite, my ten year old son like it very much, I would like this with the stronger flavor.",1237766400,2,2
B00171KCB8,1,No rtd police,NISSIN INSTANT NOODLE<br />CHICKEN FAVOR X 12 Packs<br /><br />The above item was sold by JVS thru Amazon.com  It written in the product description is MADE IN JAPAN. But when I rec'd that pkg of Noodle is written MADE IN HONG KONG. I e-mail to request Instruction of return twice within two weeks. NO Reply! I return it any way in the third week. They should have written Return Policy in place or reply my e-mail within 48 hrs!,1282435200,1,2
B000PDRYPQ,5,Amazing Stuff,"Bought at Casa Fruta in Gilroy, CA and love it! I put it in my ramen soup. I must confess that I put a lot more than most. My bottle is running low now so I will get some more. I would love to try them all. I think that blossomvalleyfoods.com has good prices but I just wanted one bottle. Thank you Amazon!",1351036800,0,0
B0054TWQ2C,5,2011 Chef's Best Award for Nong Shim's Spicy Chicken Noodle Bowl,"<span class=""tiny""> Length:: 2:09 Mins<br /><br /></span>My eight-year-old son volunteered to try Nong Shim's new flavor, spicy chicken. I made a video interview of him eating the noodles for dinner, after he came home from judo practice (hungry).<br /><br />Our family enjoys Nong Shim instant noodles. We stock our pantry every autumn with bowls of ramen, yakisoba and udon. Nong Shim is the leading brand of ramyoen (ramen instant noodles) in South Korea.<br /><br />The package design is getting better. The endorsement by Professional Chefs (a 2011 Chef's Best Award) is easier to read and three colored boxes in the lower right corner note that the noodles have no MSG added, there's 30% less sodium than their regular product and that the noodles have 0 grams of trans fat.<br /><br />I recommend adding refrigerator scraps to your instant noodles; perhaps, whole kernel corn (for sweetness) or some tofu, finely chopped green onions (scallions), chopped, cooked beef, chicken or seafood. An egg is another delicious addition.<br /><br />Rating: Five stars.<br /><br />Earlier this year, J. Kenji Lopez-Alt, executive editor at Serious Eats, posted ""Ramen Hacks: 30+ Easy Ways to Upgrade Your Instant Noodles."" I highly recommend you search out and read the full article because you will never go back to relying on the flavoring packet alone to make instant noodles.<br /><br />I distilled his tips down to these four bullet points:<br /><br />* Simple Add-ins -- Miso paste, chili bean sauce, Thai curry paste, Japanese curry powder, fish sauce, harrisa, vinegar and ponzu.<br /><br />* Vegetation -- Baby spinach, romaine lettuce, bean sprouts, thinly sliced cabbage, watercress, and scallions ""should wilt in a matter of seconds.""<br /><br />* Eggs -- Hard boiled, soft boiled, the egg-drop method, poached eggs and fried eggs.<br /><br />* Simple Simmered Meat -- Thinly sliced meats cook in a matter of seconds directly in the pot. Chicken breast, pork tenderloin, or flank steak are all great candidates.<br /><br />Instant noodles available at Amazon that our family eats and recommends:<br /><br /><a href=""http://www.amazon.com/gp/product/B003MOX6RA"">Nong Shim Big Bowl Noodle Udon</a><br /><a href=""http://www.amazon.com/gp/product/B003MP136A"">Nong Shim Big Bowl Noodle Kimchi</a><br /><a href=""http://www.amazon.com/gp/product/B00171FB7I"">Nong Shim Beef and Ginger Bowl</a><br /><a href=""http://www.amazon.com/gp/product/B000LQNK5A"">Nong Shim Kimchi Noodle Bowl</a><br /><a href=""http://www.amazon.com/gp/product/B0028PDFQG"">Myojo Ippeichan Yakisoba Noodles</a><br /><br />In many cases you can sign up for Amazon's Subscribe & Save program for additional savings and convenience.",1314230400,12,15
B0054TWQ2C,4,A Spicy Meal Alternative... But Pricy...,"I actually purchased a pack of NongShim Spicy Chicken bowls (pk of 12) from a local warehouse in my area.  Ever since college I've been a fan of these ""cup of noodles"" style meals during late Autumn and Winter.  Makes for quick alternative meal that warms you up.  How does Nongshim's spicy chicken version stand up against other brands I've had?<br /><br />Pretty good actually!  Each bowl contains a fairly large amount of noodles, compared to the cup variety.  The noodles are your typical standard dried Ramen noodle.  I am not a big fan of microwaving these products so I make mine by boiling water.  Just put some water up to boil, open the package and add the ""flavor pouch"" or Soup Base, add boiling water to the fill line and wait 3 minutes.  Instant hot soup with noodles.  While the noodles are standard , the broth is really good.  It has a lot of flavor to it and a good spicy kick to it.  Put the two of them together and you get a very satisfying meal that will fill you up, and wake you up.<br /><br />Despite having a good spicy broth and making for a  filling meal... This product does have some CONS I am wary of.  For one the product contains almost 1800mg of sodium for a single bowl.  This is insane!  Most of these cup/bowl of noodles are overloaded with sodium to begin with, but it still needs to be pointed out.  The fat content is a bit high also, at 14g for an entire bowl.  Another problem I have is that most of the products I've tried usually come in a sturdy container for your product.  Nongshim's Spicy Chicken Bowls come in a flimsy plastic bowl.  It works fine but once prepared I would definitely suggest carrying with two hands, as it has a very cheap feel to the bowl.  The price per bowl is also a bit expensive.  At the warehouse I purchased this, I paid $9 for 12 bowls.  I could of paid $6.50 for 24 cup of noodle varieties.  Compared to the cup variety, you are paying a premium for these; And while the bowl produced better quality broth, I don't see it being worth the price increase. (12 bowls = 24 servings.. $9 for 24 servings.  the cups were $6.50 for 24 servings.. so basically $2.50 more for bowls vs cups)<br /><br />OVERALL I would give this product 4 stars.  Despite having a flimsy bowl, and incredibly high amount of sodium the product makes up for it in the overall quality of its taste and sheer volume of noodles.  You get a big meal here that will both fill you, and warm you up.  It has a really nice spicy kick to the broth that lingers without becoming annoying(see NOTE).  I've always enjoyed spicy foods so having a few of these laying around the house helps if I just want a quick meal.  I would not recommend eating these everyday, in fact maybe I tend to aim for one a week.  Products like this are not exactly the healthiest alternative meal for you, but if you need a quick emergency meal these are a good alternative.<br /><br />NOTE: The product contains chicken but I really wouldn't call it chicken.  You might find a few tiny little bits of re-hydrated chicken<br />NOTE: I do not use the entire flavor/soup base packet.  The amount of sodium it contains is ridiculous!  I use no more than 3/4 of the packet.  I tried using the entire packet once and it made the broth start to taste far too salty, as well as making the spice in the broth overpower rather than compliment.  Don't be afraid to use less of the packet...",1315872000,3,3
B0054TWQ2C,4,"Tasty, but overpriced and unhealthy","I had my picky 15-year-old son to try this Nong Shim Spicy Chicken Noodle Bowl, and he liked it a lot: ""The flavor is good.  Has a major spiciness, which I like.  Little overpriced.  For the price, I'd probably just get ramen.  Can't really taste the chicken.  The picture on the package is misleading; the chicken chunks aren't that big.  Overall, quite good."" But he complained that there are two lines inside the bowl, so he didn't know which to fill it to (he used the lower line).<br /><br />These are basically like the <a href=""http://www.amazon.com/gp/product/B0047TAKQ4"">Cup O Noodles</a> almost everyone has had at some point, but a little bigger and with a more complex taste.  Very handy and easy to prepare, but definitely overpriced for what you're getting.  And the nutrition numbers make it something you won't want to eat regularly.  This 3-oz bowl is unrealistically listed as two servings.  Who is going to split a noodle cup??  If you eat the whole thing, it has 380 calories, 14g fat, 1780mg sodium, 56g carbs, 2g fiber, and 8g protein.<br /><br />This wouldn't be a terrible option to keep in a desk drawer at work for unexpected days when you just can't get out, or possibly to take camping, or just for having a few around the house for emergencies, but it's definitely not something I would (or let my family) eat regularly.",1311638400,6,8
B0054TWQ2C,5,Convenient and Tasty,"I was recently introduced to the <a href=""http://www.amazon.com/gp/product/B000LQORDE"">Nong Shim Shin Noodle Ramyun, Gourmet Spicy Picante, 4.2-Ounce Packages (Pack of 20)</a> and it was the best ""instant"" Ramen I've ever tried. I immediately ordered a case of those and these Spicy Chicken bowls. The perfect convenient chicken soup when you have a cold. Less than 5 minutes from grabbing the bowl to slurping soup.<br /><br />This is not that stuff you ate in college. This is a good sized serving of tasty noodles.<br />You pay a little more for the disposable plastic bowl, but the convenience it great.",1326326400,1,1
B0054TWQ2C,5,Easy to make and tastes good,I've been buying the Nong Shim Spicy Chicken Noodle Bowls for over a year now. They are really great when you want something warm and quick. I like that the flavor is in a packet so you can add as much or as little of it as you want. The flavor of them is also good for something that is an instant noodle. I have tried other brands of instant noodles and they just don't have the taste that these do. Most other ones are more bland and just not very good. I will continue to buy these noodle bowls to have on occasion when I need something quick and easy.,1319068800,1,1
B0054TWQ2C,4,"Noodles, Noodles, Everywhere","Nong Shim's Spicy Chicken Noodle Bowl offers up a quick, Ramen-style noodle dish that comes in a one-serving bowl.  Like Cup-A-Noodle and other Ramen-type meals, this is basically a fast, reasonably tasty meal for people who are working at the office or just want something really quick at home.  Just open the lid halfway, fill with water to the internal line, throw in the seasonings from the enclosed packet, nuke it for few minutes and enjoy.<br /><br />As far as taste is concerned, Nong Shim has done nothing to separate itself from the noodle pack.  If you've had spicy chicken flavored noodles from other companies, you've pretty much had Nong Shim's version of the dish.<br /><br />I like eating noodles in this fashion whenever I'm by myself at home and can't decide what to eat for lunch.  They are quick, taste good enough, and basically prevent me from eating a bunch of junk food.<br /><br />I recommend Nong Shim's Spicy Chicken Noodle Bowl to anyone who's tied down at work or just hungry for something fast.",1313107200,1,1
B0054TWQ2C,4,Spicy Noodles That Bite Back.  :),"These 'ramen-like' noodles will be a tasty addition to anyone's lunch repertoire - providing of course you have a microwave handy at the office\shop.  The 'Spicy Chicken Flavor' lives up to it's name.  These noodles bite back!  :)  ((But nothing too bad))  I have a love of all things spicy -- but I found these to be somewhere in the low to middle range of heat\spice.  Each bowl contains 2 servings - bringing the total calorie count to 380 per bowl (Total Fat = 7g, Cholesterol = 0mg, Sodium = 890mg, Total Carb = 28g, Protein = 4g).  The package is used as the bowl.  You peel back the lid, and add room temperature water to the easily seen line - then microwave for 3 min.  Or you add hot water and wait 3 minutes.  There were a few small chunks of chicken - ideally I would want more.  The packaging indicates it has 30% less sodium - but at 890mg of sodium I would hate to see that extra 30% back.",1312156800,1,1
